year_mobility,region_origin,destination,latitude,longitude,n_mobile
2020,Sub-Saharan Africa,AE,23.75,54.5,9
2020,Sub-Saharan Africa,AU,-25,135,124
2020,Sub-Saharan Africa,BI,-3.5,30,1
2020,Sub-Saharan Africa,IQ,33,44,1
2020,Sub-Saharan Africa,NE,18,9,13
2020,Sub-Saharan Africa,SD,16,30,4
2022,Sub-Saharan Africa,AR,-34,-64,1
2022,Sub-Saharan Africa,BW,-22,24,19
2022,Sub-Saharan Africa,CA,60.10867,-113.64258,114
2022,Sub-Saharan Africa,CH,47.00016,8.01427,50
2022,Sub-Saharan Africa,CM,6,12.5,17
2022,Sub-Saharan Africa,EG,27,30,12
2022,Sub-Saharan Africa,FR,46,2,99
2022,Sub-Saharan Africa,IN,22,79,74
2022,Sub-Saharan Africa,JO,31,36,1
2022,Sub-Saharan Africa,KW,29.5,47.75,1
2022,Sub-Saharan Africa,LR,6.5,-9.5,1
2022,Sub-Saharan Africa,MA,28.5,-10,2
2022,Sub-Saharan Africa,ML,18,-2,7
2022,Sub-Saharan Africa,MZ,-18.25,35,6
2022,Sub-Saharan Africa,SA,25,45,29
2022,Sub-Saharan Africa,TT,11,-61,1
2023,Sub-Saharan Africa,AU,-25,135,123
2023,Sub-Saharan Africa,BE,50.75,4.5,81
2023,Sub-Saharan Africa,BN,4.5,114.66667,1
2023,Sub-Saharan Africa,BR,-10,-55,22
2023,Sub-Saharan Africa,DE,51.5,10.5,126
2023,Sub-Saharan Africa,GH,8.1,-1.2,37
2023,Sub-Saharan Africa,IE,53,-8,21
2023,Sub-Saharan Africa,NG,10,8,71
2023,Sub-Saharan Africa,PH,13.40882,122.56155,3
2023,Sub-Saharan Africa,PK,30,70,35
2023,Sub-Saharan Africa,QA,25.5,51.25,2
2023,Sub-Saharan Africa,RO,46,25,1
2023,Sub-Saharan Africa,RS,44.81892,20.45998,1
2023,Sub-Saharan Africa,SN,14.5,-14.25,7
2023,Sub-Saharan Africa,TW,24,121,13
