year_collaboration,main_field_id,country_region,n_pub_region,co_country_region,n_pub,prop_coll
2016,5,LAC,12803,SSA,66,0.005155042
2016,All,LAC,121411,SSA,1141,0.009397831
2015,1,LAC,14189,SSA,47,0.003312425
2015,2,LAC,54318,SSA,556,0.010236018
2015,3,LAC,29293,SSA,143,0.004881712
2015,4,LAC,17267,SSA,200,0.011582788
2015,5,LAC,12313,SSA,49,0.003979534
2015,All,LAC,112857,SSA,889,0.007877225
2014,1,LAC,12330,SSA,40,0.00324412
2014,2,LAC,50191,SSA,486,0.009683011
2014,3,LAC,27093,SSA,146,0.005388846
2014,4,LAC,15967,SSA,169,0.01058433
2014,5,LAC,11111,SSA,36,0.003240032
2014,All,LAC,103794,SSA,785,0.007563058
2013,1,LAC,10525,SSA,25,0.002375297
2013,2,LAC,45339,SSA,366,0.00807252
2013,3,LAC,24856,SSA,159,0.006396846
2013,4,LAC,14703,SSA,139,0.009453853
2013,5,LAC,10008,SSA,28,0.002797762
2013,All,LAC,93798,SSA,640,0.006823173
2012,1,LAC,9431,SSA,15,0.001590499
2012,2,LAC,41876,SSA,298,0.007116248
2012,3,LAC,23407,SSA,88,0.003759559
2012,4,LAC,13520,SSA,97,0.007174556
2012,5,LAC,8832,SSA,19,0.002151268
2012,All,LAC,86886,SSA,457,0.005259766
2011,1,LAC,7842,SSA,21,0.002677888
2011,2,LAC,39552,SSA,293,0.007407969
2011,3,LAC,21056,SSA,70,0.003324468
2011,4,LAC,12633,SSA,101,0.007994934
2011,5,LAC,7874,SSA,11,0.001397003
2011,All,LAC,79858,SSA,453,0.005672569
2010,1,LAC,7391,SSA,25,0.003382492
2010,2,LAC,35708,SSA,237,0.006637168
2010,3,LAC,19828,SSA,63,0.003177325
2010,4,LAC,11785,SSA,90,0.007636826
2010,5,LAC,7351,SSA,11,0.001496395
2010,All,LAC,73407,SSA,378,0.005149373
2009,1,LAC,5986,SSA,14,0.002338791
2009,2,LAC,32551,SSA,156,0.004792479
2009,3,LAC,19158,SSA,54,0.002818666
2009,4,LAC,10779,SSA,89,0.008256796
2009,5,LAC,7390,SSA,9,0.001217862
2009,All,LAC,68111,SSA,280,0.004110937
2008,1,LAC,5533,SSA,11,0.001988072
2008,2,LAC,29880,SSA,130,0.004350736
2008,3,LAC,17917,SSA,37,0.002065078
2008,4,LAC,9952,SSA,55,0.005526527
2008,5,LAC,6889,SSA,10,0.001451589
2008,All,LAC,63032,SSA,201,0.003188856
2007,1,LAC,4336,SSA,7,0.001614391
2007,2,LAC,27418,SSA,107,0.003902546
2007,3,LAC,16785,SSA,33,0.001966041
2007,4,LAC,8973,SSA,53,0.005906609
2007,5,LAC,5889,SSA,10,0.001698081
2007,All,LAC,57051,SSA,182,0.003190128
2006,1,LAC,3566,SSA,4,0.001121705
2006,2,LAC,24726,SSA,88,0.003559007
2006,3,LAC,15326,SSA,31,0.002022707
2006,4,LAC,7931,SSA,43,0.005421763
2006,5,LAC,5362,SSA,4,0.00074599
2006,All,LAC,51329,SSA,148,0.00288336
2005,1,LAC,2991,SSA,5,0.001671682
2005,2,LAC,21061,SSA,66,0.003133754
2005,3,LAC,14485,SSA,26,0.00179496
2005,4,LAC,6911,SSA,25,0.003617422
2005,5,LAC,4595,SSA,4,0.000870511
2005,All,LAC,45282,SSA,111,0.002451305
2004,1,LAC,2446,SSA,5,0.002044154
2004,2,LAC,19056,SSA,69,0.003620907
2004,3,LAC,12967,SSA,32,0.002467803
2004,4,LAC,5918,SSA,25,0.0042244
2004,5,LAC,4201,SSA,1,0.000238039
2004,All,LAC,40481,SSA,112,0.00276673
2003,1,LAC,2260,SSA,5,0.002212389
2003,2,LAC,16732,SSA,54,0.003227349
2003,3,LAC,11565,SSA,29,0.002507566
2003,4,LAC,5363,SSA,32,0.00596681
2003,5,LAC,3589,SSA,1,0.000278629
2003,All,LAC,35680,SSA,110,0.00308296
2002,1,LAC,1806,SSA,2,0.00110742
2002,2,LAC,14722,SSA,39,0.002649097
2002,3,LAC,11104,SSA,25,0.002251441
2002,4,LAC,4941,SSA,19,0.003845375
2002,5,LAC,3229,SSA,6,0.00185816
2002,All,LAC,32408,SSA,76,0.0023451
2001,1,LAC,1558,SSA,2,0.001283697
2001,2,LAC,12582,SSA,33,0.002622794
2001,3,LAC,10319,SSA,22,0.00213199
2001,4,LAC,4165,SSA,20,0.004801921
2001,5,LAC,2777,SSA,2,0.000720202
2001,All,LAC,28545,SSA,73,0.002557366
2000,1,LAC,1332,SSA,4,0.003003003
2000,2,LAC,11551,SSA,23,0.00199117
2000,3,LAC,8678,SSA,13,0.001498041
2000,4,LAC,3761,SSA,15,0.003988301
2000,5,LAC,2306,SSA,3,0.001300954
2000,All,LAC,25183,SSA,50,0.001985466
1999,1,LAC,1087,SSA,1,0.000919963
1999,2,LAC,9986,SSA,12,0.001201682
1999,3,LAC,7757,SSA,10,0.001289158
1999,4,LAC,3171,SSA,11,0.003468937
1999,5,LAC,1919,SSA,3,0.001563314
1999,All,LAC,21793,SSA,31,0.001422475
1998,1,LAC,908,SSA,2,0.002202643
1998,2,LAC,9015,SSA,12,0.001331115
1998,3,LAC,6497,SSA,14,0.002154841
1998,4,LAC,2290,SSA,7,0.003056769
1998,5,LAC,1791,SSA,4,0.002233389
1998,All,LAC,18589,SSA,33,0.001775243
1997,1,LAC,804,SSA,1,0.001243781
1997,2,LAC,7890,SSA,20,0.002534854
1997,3,LAC,5710,SSA,9,0.001576182
1997,4,LAC,1991,SSA,5,0.002511301
1997,5,LAC,1468,SSA,3,0.002043597
1997,All,LAC,16167,SSA,35,0.002164904
1996,1,LAC,651,SSA,2,0.003072197
1996,2,LAC,6827,SSA,13,0.001904204
1996,3,LAC,4724,SSA,11,0.002328535
1996,4,LAC,1537,SSA,1,0.000650618
